EditionId	ASIN	ISBN	Title	Author	Edition Author	Binding	PublicationYear	Rating	Tags	Note	Condition	DatePurchased	PurchasePrice	DateRead	Signed	Loaned	LoanedTo	LoanedDate	LoanDueDate	DateAdded	Private	Favorites list	I plan to read list	Wish list	I've read list	I own list	I'm reading list	Review
27859581	"B002WTCIIO"	""	The Federalist Papers (Optimized for Kindle)		Alexander Hamilton, John Jay, James Madison	Kindle Edition	2008													2/4/2011		False	True	False	False	True	False	
27866485	"1449381561"	"1449381561"	MongoDB: The Definitive Guide		Kristina Chodorow, Michael Dirolf	Paperback	2010	3						1/1/2012						12/22/2011		False	False	False	True	False	False	
28053221	"1591843790"	"1591843790"	Enchantment	Kawasaki, Guy	Guy Kawasaki	Hardcover	2011	4						6/4/2011						6/11/2011		False	False	False	True	False	False	
28390741	"1416596585"	"1416596585"	In The Plex	Levy, Steven	Steven Levy	Hardcover	2011	5						6/28/2011						6/25/2011		True	False	False	True	False	False	
35465078	"1593272839"	"1593272839"	Learn You a Haskell for Great Good!	Lipovača, Miran	Miran Lipovaca	Paperback	2011	4												1/14/2014		False	True	False	False	False	False	
35470390	"1935785575"	"9781935785576"	If You Want To Write: A Book about Art, Independence and Spirit		Brenda Ueland	Paperback	2010	4						6/2/2011						6/11/2011		False	False	False	True	False	False	
37559580	"0374227349"	"0374227349"	The Origins of Political Order	Fukuyama, Francis	Francis Fukuyama	Hardcover	2011	4						3/22/2013						9/16/2012		False	False	False	True	False	False	
37640246	"B0046ECF4U"	""	All the Devils Are Here	McLean, Bethany; Joe Nocera	Joe Nocera, Bethany McLean	Kindle Edition	2010	5						6/1/2011						11/4/2010		False	False	False	True	False	False	
37658106	"0143119583"	"0143119583"	Cognitive Surplus	Shirky, Clay	Clay Shirky	Paperback	2011													7/6/2011		False	True	False	False	False	False	
37792241	"1456334727"	"1456334727"	The Crowdfunding Revolution: Social Networking Meets Venture Financing		Kevin Lawton, Dan Marom	Paperback	2010	4						1/19/2011						1/21/2011		False	False	False	True	False	False	
37949729	"0307887898"	"0307887898"	The Lean Startup	Ries, Eric	Eric Ries	Hardcover	2011	4						1/1/2012						12/22/2011		False	False	False	True	False	False	
38099561	"B004K1F9KG"	""	Lifted (Kindle Single)		Evan Ratliff	Kindle Edition	2011													2/4/2011		False	False	False	False	True	False	
38134139	"0470929820"	"0470929820"	Venture Deals	Feld, Brad; Jason Mendelson	Brad Feld, Jason Mendelson	Hardcover	2011													7/17/2011		False	False	False	False	False	False	
38217502	"0300151098"	"0300151098"	A Great Leap Forward	Field, Alexander J.	Alexander J. Field Ph.D.	Hardcover	2012	5						6/20/2011						6/11/2011		False	False	False	True	False	False	
52689226	"B004PGO25O"	""	Do the Work	Pressfield, Steven	Steven Pressfield	Kindle Edition	2011													7/11/2011		False	True	False	False	False	False	
57124345	"1451648537"	"1451648537"	Steve Jobs	Isaacson, Walter	Walter Isaacson	Hardcover	2011	5						11/1/2011						11/17/2011		True	False	False	True	False	False	
57218147	"0547572484"	"0547572484"	The Man in the High Castle	Dick, Philip K.	Philip K. Dick	Paperback	2012	5						9/8/2012						9/3/2012		False	False	False	True	False	False	
59263646	"0982703007"	"0982703007"	Tempo	Rao, Venkatesh Guru	Venkatesh Guru Rao	Paperback	2011	5						1/1/2012						7/8/2011		True	False	False	True	False	False	
59648476	"1936365464"	"1936365464"	Lucky Peach: Issue 1			Paperback	2011	5						12/1/2011						12/31/2011		False	False	False	True	False	False	
59648477	"1936365472"	"1936365472"	Lucky Peach Issue 2			Paperback	2011	3						2/23/2012						12/31/2011		False	False	False	True	False	False	
